"","Mean","SD","Naive SE","Time-series SE"
"beta_iter[189]",0.471505684429565,0.0396521234655973,0.000511906712746729,0.00113709885820996
"beta_iter[190]",0.495723387602747,0.0392723855443606,0.000507004317263818,0.00110220372018354
"beta_iter[191]",0.534182978722987,0.0380983427138218,0.000491847489495782,0.00111572462049572
"beta_iter[192]",0.479934813443094,0.034722882379626,0.000448270483962036,0.000863122693607423
"beta_iter[193]",0.518898128457712,0.0458196287828265,0.000591528864017643,0.0017293200638477
"beta_iter[194]",0.458397616459426,0.0375865807377168,0.000485240670793526,0.000984952679895509
"beta_iter[195]",0.416860714689187,0.0342487672923983,0.000442149684505306,0.000815802010733552
"beta_iter[196]",0.351472495440575,0.0349942444649421,0.000451773753419439,0.000876905197763269
"beta_iter[197]",0.437593843656014,0.0497692870931788,0.000642518733548324,0.00188764386028234
"beta_iter[198]",0.65339191603124,0.0504833172788303,0.000651736823607383,0.00255862192057249
"beta_iter[199]",0.484020760596084,0.0388918121997166,0.000502091136511096,0.00112379646771771
"beta_iter[200]",0.643455263239585,0.0409959737737334,0.000529255745624085,0.00153322655317017
"delta_iter[1]",0.916004866580505,0.137559408494936,0.00177588432738344,0.00420572682082712
"delta_iter[2]",1.42554999658845,0.168648945145717,0.0021772485196827,0.00757336792625988
"delta_iter[3]",0.9005084022836,0.147730660333157,0.0019071946239818,0.00511207139224588
"delta_iter[4]",1.4318114499621,0.162624241829241,0.00209946993431419,0.00528036548302874
"delta_iter[5]",0.661511120100466,0.115543487186114,0.0014916600054485,0.00283813926143381
"delta_iter[6]",0.808236206628743,0.129261937193306,0.00166876443349395,0.00321523639131647
"delta_iter[7]",1.44565041198735,0.143177003815978,0.00184840717113053,0.00393418836983964
"delta_iter[8]",1.22724364525374,0.181921208952191,0.00234859270864585,0.0110013726856096
"delta_iter[9]",0.885880399256175,0.134307210104263,0.00173389862669797,0.0037241783942082
"delta_iter[10]",1.49776713829514,0.219776337307611,0.00283730031427614,0.0126878085129224
"delta_iter[11]",0.594286401543824,0.138001919983329,0.0017815971261336,0.00388584900610235
"delta_iter[12]",1.18624206646935,0.146509624767796,0.00189143112261591,0.0054594989292817
"delta_iter[13]",0.689431256036549,0.120342427647971,0.00155361406040921,0.00268708065433296
"delta_iter[14]",1.06506309971857,0.150851448426491,0.00194748382502355,0.00540817212736999
"delta_iter[15]",1.46609338804217,0.169639678202131,0.0021900388284428,0.00512554787870871
"delta_iter[16]",0.892664571086527,0.143285941888916,0.00184981355560471,0.00380556428257644
"delta_iter[17]",1.05761913523726,0.154717820038406,0.00199739846790087,0.00544646172181247
"delta_iter[18]",0.85042085484329,0.15388701259099,0.00198667278987505,0.00379787163329686
"delta_iter[19]",1.27476605113563,0.183622194829046,0.00237055234188983,0.00760688654027378
"delta_iter[20]",0.522988515713534,0.127750866041923,0.00164925658881314,0.00294740130703723
"delta_iter[21]",0.360725572671627,0.116459231274205,0.00150348221079038,0.00267679538484612
"delta_iter[22]",0.900772867769141,0.124553054273583,0.00160797301640285,0.00325559734462868
"delta_iter[23]",1.00203874945274,0.149229365782146,0.00192654282813116,0.00468771822889442
"delta_iter[24]",0.925278977649631,0.15937052203005,0.00205746459232922,0.00484416850688133
"delta_iter[25]",1.42310518876197,0.175325819715125,0.00226344659972281,0.00652044029249109
"delta_iter[26]",0.813810889456894,0.136393026214391,0.00176082639689056,0.00388337043403516
"delta_iter[27]",1.30254644047766,0.165309112860713,0.00213413147028622,0.0048362858715646
